"Fecha","Último","Apertura","Máximo","Mínimo","% var."
"Mar 2013","1.819,00","1.812,50","1.837,40","1.795,64","0,39%"
"Feb 2013","1.811,90","1.772,05","1.822,84","1.772,05","2,06%"
"Ene 2013","1.775,31","1.766,78","1.784,55","1.747,53","0,53%"
"Dic 2012","1.766,00","1.815,20","1.818,57","1.758,00","-2,68%"
"Nov 2012","1.814,60","1.831,70","1.841,57","1.809,13","-0,92%"
"Oct 2012","1.831,53","1.799,70","1.837,86","1.790,93","1,79%"
"Sep 2012","1.799,40","1.824,31","1.827,61","1.785,59","-1,33%"
"Ago 2012","1.823,62","1.792,58","1.839,23","1.776,41","1,82%"
"Jul 2012","1.791,10","1.782,84","1.807,18","1.766,68","0,53%"
"Jun 2012","1.781,73","1.828,07","1.847,72","1.759,05","-2,50%"
"May 2012","1.827,40","1.762,40","1.854,07","1.750,90","3,71%"
"Abr 2012","1.762,10","1.779,25","1.800,00","1.757,38","-1,39%"
"Mar 2012","1.786,90","1.766,20","1.799,32","1.755,33","1,17%"
"Feb 2012","1.766,20","1.809,20","1.810,35","1.762,25","-2,39%"
"Ene 2012","1.809,50","1.936,50","1.940,20","1.795,94","-6,53%"
"Dic 2011","1.936,00","1.951,15","1.954,75","1.915,65","-0,78%"
"Nov 2011","1.951,15","1.865,00","1.972,80","1.866,00","4,62%"
"Oct 2011","1.865,00","1.929,99","1.988,00","1.857,15","-3,37%"
"Sep 2011","1.929,99","1.777,00","1.937,10","1.776,00","8,61%"
"Ago 2011","1.777,00","1.776,70","1.818,00","1.760,60","0,02%"
"Jul 2011","1.776,70","1.768,00","1.785,00","1.746,00","0,52%"
"Jun 2011","1.767,50","1.802,00","1.804,00","1.765,15","-1,91%"
"May 2011","1.802,00","1.767,70","1.839,65","1.753,20","1,94%"
"Abr 2011","1.767,70","1.870,50","1.871,50","1.759,20","-5,50%"
"Mar 2011","1.870,50","1.906,10","1.920,75","1.858,80","-1,86%"
"Feb 2011","1.906,00","1.865,80","1.928,80","1.844,00","1,83%"
"Ene 2011","1.871,80","1.915,00","1.960,00","1.827,25","-2,26%"
"Dic 2010","1.915,00","1.942,00","2.047,00","1.870,45","-1,39%"
"Nov 2010","1.942,00","1.825,00","1.944,40","1.813,75","5,66%"
"Oct 2010","1.838,00","1.795,00","1.850,70","1.781,95","2,08%"
"Sep 2010","1.800,50","1.825,00","1.827,55","1.785,70","-1,39%"
"Ago 2010","1.825,95","1.840,95","1.843,85","1.795,95","-1,04%"
"Jul 2010","1.845,10","1.916,90","1.916,90","1.836,20","-3,75%"
"Jun 2010","1.916,90","1.974,50","1.979,90","1.879,85","-2,76%"
"May 2010","1.971,30","1.954,85","2.047,70","1.947,65","0,75%"
"Abr 2010","1.956,60","1.922,55","1.984,00","1.901,50","1,89%"
"Mar 2010","1.920,30","1.943,70","1.945,50","1.880,20","-0,23%"
"Feb 2010","1.924,80","1.988,20","2.014,50","1.911,50","-3,02%"
"Ene 2010","1.984,70","2.042,25","2.056,50","1.951,60","-2,85%"
"Dic 2009","2.043,00","2.003,40","2.064,75","1.983,50","1,97%"
"Nov 2009","2.003,45","1.994,15","2.031,20","1.947,80","0,47%"
"Oct 2009","1.994,12","1.933,83","2.038,12","1.813,62","3,28%"
"Sep 2009","1.930,70","2.059,50","2.089,00","1.903,50","-6,23%"
"Ago 2009","2.058,95","2.035,35","2.069,45","1.974,05","1,03%"
"Jul 2009","2.037,90","2.144,50","2.144,50","1.942,50","-4,91%"
"Jun 2009","2.143,15","2.142,42","2.213,92","1.995,42","0,08%"
"May 2009","2.141,40","2.290,02","2.293,60","2.130,70","-6,47%"
"Abr 2009","2.289,60","2.545,90","2.578,70","2.275,50","-10,15%"
"Mar 2009","2.548,25","2.556,41","2.614,11","2.320,01","-0,23%"
"Feb 2009","2.554,15","2.435,65","2.609,75","2.405,55","4,87%"
"Ene 2009","2.435,60","2.248,70","2.438,20","2.185,80","8,32%"
"Dic 2008","2.248,58","2.317,52","2.344,02","2.148,62","-3,04%"
"Nov 2008","2.319,03","2.386,82","2.386,82","2.255,82","-2,77%"
"Oct 2008","2.385,00","2.159,50","2.421,90","2.133,60","8,95%"
"Sep 2008","2.189,05","1.941,35","2.222,55","1.935,65","13,08%"
"Ago 2008","1.935,78","1.789,22","1.943,83","1.764,12","7,81%"
"Jul 2008","1.795,50","1.922,00","1.965,60","1.692,60","-6,17%"
"Jun 2008","1.913,50","1.746,00","1.979,80","1.634,60","9,54%"
"May 2008","1.746,85","1.760,00","1.809,55","1.729,60","-0,80%"
"Abr 2008","1.761,00","1.830,10","1.833,00","1.749,00","-3,80%"
"Mar 2008","1.830,55","1.838,00","1.913,35","1.799,50","-0,49%"
"Feb 2008","1.839,50","1.937,60","1.947,00","1.833,30","-5,10%"
"Ene 2008","1.938,30","2.014,50","2.047,70","1.930,00","-3,95%"
"Dic 2007","2.018,00","2.052,10","2.062,50","1.981,90","-1,71%"
"Nov 2007","2.053,05","1.983,00","2.100,95","1.982,70","3,51%"
"Oct 2007","1.983,50","2.022,00","2.037,70","1.955,00","-2,03%"
"Sep 2007","2.024,50","2.162,25","2.204,50","1.989,70","-6,43%"
"Ago 2007","2.163,62","1.954,00","2.186,38","1.950,00","10,61%"
"Jul 2007","1.956,00","1.973,90","1.993,90","1.906,80","-0,98%"
"Jun 2007","1.975,45","1.893,80","1.985,55","1.871,00","4,28%"
"May 2007","1.894,40","2.102,20","2.106,60","1.891,85","-9,92%"
"Abr 2007","2.103,10","2.202,30","2.203,20","2.098,05","-4,52%"
"Mar 2007","2.202,65","2.230,00","2.255,35","2.147,90","-1,25%"
"Feb 2007","2.230,50","2.251,90","2.256,50","2.204,00","-0,97%"
"Ene 2007","2.252,45","2.238,50","2.268,40","2.201,00","0,62%"
"Dic 2006","2.238,50","2.296,00","2.301,50","2.223,20","-2,55%"
"Nov 2006","2.297,00","2.304,00","2.331,00","2.263,90","-0,35%"
"Oct 2006","2.305,00","2.397,25","2.406,50","2.303,80","-3,88%"
"Sep 2006","2.398,12","2.395,00","2.423,38","2.375,00","0,05%"
"Ago 2006","2.397,00","2.427,10","2.447,00","2.350,30","-1,28%"
"Jul 2006","2.428,05","2.572,10","2.580,95","2.419,50","-5,66%"
"Jun 2006","2.573,80","2.490,20","2.656,50","2.424,00","3,36%"
"May 2006","2.490,22","2.377,00","2.542,12","2.323,90","4,69%"
"Abr 2006","2.378,65","2.289,50","2.383,55","2.279,00","3,83%"
"Mar 2006","2.290,85","2.244,00","2.300,35","2.242,00","2,00%"
"Feb 2006","2.246,00","2.266,41","2.270,60","2.238,53","-0,93%"
"Ene 2006","2.267,00","2.285,01","2.287,05","2.254,40","-0,85%"
"Dic 2005","2.286,50","2.273,50","2.289,70","2.271,00","0,54%"
"Nov 2005","2.274,25","2.289,50","2.290,75","2.269,85","-0,69%"
"Oct 2005","2.290,00","2.287,00","2.312,00","2.275,00","0,12%"
"Sep 2005","2.287,35","2.302,00","2.311,80","2.273,70","-0,67%"
"Ago 2005","2.302,75","2.316,90","2.318,75","2.289,70","-0,29%"
"Jul 2005","2.309,50","2.318,00","2.346,50","2.306,00","-0,77%"
"Jun 2005","2.327,50","2.337,51","2.367,00","2.309,50","-0,43%"
"May 2005","2.337,51","2.346,00","2.351,15","2.318,00","-0,45%"
"Abr 2005","2.348,00","2.369,00","2.379,50","2.321,00","-0,98%"
"Mar 2005","2.371,25","2.328,00","2.407,75","2.317,00","1,80%"
"Feb 2005","2.329,25","2.362,00","2.375,75","2.301,60","-1,47%"
"Ene 2005","2.364,00","2.350,00","2.399,50","2.310,00","0,49%"
"Dic 2004","2.352,50","2.478,50","2.492,50","2.283,00","-5,08%"
"Nov 2004","2.478,50","2.565,00","2.580,00","2.472,00","-3,43%"
"Oct 2004","2.566,50","2.615,30","2.638,00","2.534,00","-2,17%"
"Sep 2004","2.623,50","2.541,00","2.623,50","2.511,50","3,43%"
"Ago 2004","2.536,50","2.610,00","2.622,50","2.530,00","-2,98%"
"Jul 2004","2.614,40","2.688,00","2.690,95","2.607,50","-2,83%"
"Jun 2004","2.690,47","2.735,60","2.746,47","2.683,00","-1,71%"
"May 2004","2.737,28","2.656,40","2.775,72","2.645,00","3,00%"
"Abr 2004","2.657,50","2.676,00","2.682,50","2.597,30","-0,69%"
"Mar 2004","2.676,00","2.679,00","2.689,00","2.640,00","-0,21%"
"Feb 2004","2.681,50","2.737,00","2.764,20","2.639,50","-2,10%"
"Ene 2004","2.739,00","2.779,00","2.783,90","2.712,20","-1,47%"
"Dic 2003","2.780,00","2.832,00","2.834,40","2.765,70","-1,92%"
"Nov 2003","2.834,40","2.874,10","2.896,00","2.816,70","-1,45%"
"Oct 2003","2.876,10","2.899,50","2.915,80","2.844,70","-0,82%"
"Sep 2003","2.899,75","2.826,70","2.905,25","2.807,70","2,52%"
"Ago 2003","2.828,35","2.881,50","2.906,15","2.825,00","-1,93%"
"Jul 2003","2.884,00","2.806,00","2.897,30","2.804,00","2,38%"
"Jun 2003","2.817,00","2.845,00","2.858,50","2.802,00","-1,07%"
"May 2003","2.847,50","2.869,00","2.932,50","2.792,00","-0,80%"
"Abr 2003","2.870,50","2.957,50","2.961,04","2.861,00","-2,98%"
"Mar 2003","2.958,75","2.960,00","2.964,85","2.937,20","-0,13%"
"Feb 2003","2.962,55","2.900,00","3.001,95","2.887,00","0,51%"
"Ene 2003","2.947,50","2.854,50","2.982,50","2.792,50","2,81%"
"Dic 2002","2.866,95","2.794,30","2.882,95","2.749,50","2,21%"
"Nov 2002","2.804,95","2.781,50","2.807,65","2.649,50","0,75%"
"Oct 2002","2.783,95","2.880,00","2.898,95","2.717,50","-3,50%"
"Sep 2002","2.885,00","2.698,00","2.887,00","2.656,50","6,85%"
"Ago 2002","2.700,00","2.630,00","2.722,50","2.520,00","2,51%"
"Jul 2002","2.634,00","2.400,00","2.652,00","2.397,50","9,64%"
